mouse_id,genotype,condition,panel_key,pair,metric,damaged,intact,ratio,pct_change,log2_ratio,damaged_area_mm2,intact_area_mm2
m4-2,IFNg_KO_het,naive,LEFT,damaged_vs_intact,morph_tissue_fraction,0.19496382528954656,0.18160975186967962,1.0735316979533656,7.353169795336556,0.10236478999033577,0.5116968125461809,54.315442797625
m4-2,IFNg_KO_het,naive,LEFT,damaged_vs_intact,morph_airspace_fraction,0.8050361747104535,0.8183902481303202,0.9836825115519457,-1.6317488448054251,-0.023735341232182884,0.5116968125461809,54.315442797625
m4-2,IFNg_KO_het,naive,LEFT,damaged_vs_intact,morph_mli_direct_um,11.922464490953113,18.82026887999105,0.6334906566413934,-36.65093433586066,-0.6586047536847062,0.5116968125461809,54.315442797625
m4-2,IFNg_KO_het,naive,LEFT,damaged_vs_intact,morph_mli_indirect_um,27.697117350867778,29.707869140175124,0.9323158527520196,-6.768414724798044,-0.10110929665792388,0.5116968125461809,54.315442797625
m4-2,IFNg_KO_het,naive,LEFT,damaged_vs_intact,morph_airspace_width_edmmean_um,9.812914343580246,12.604738941656338,0.778509923053652,-22.149007694634804,-0.36121266656692064,0.5116968125461809,54.315442797625
m4-2,IFNg_KO_het,naive,LEFT,damaged_vs_intact,morph_airspace_width_edmmedian_um,5.938944047508583,9.44076562107895,0.6290744083560718,-37.092559164392824,-0.6686974224293186,0.5116968125461809,54.315442797625
m4-2,IFNg_KO_het,naive,LEFT,damaged_vs_intact,morph_wall_thickness_edmmean_um,4.513240327089083,4.705667583313022,0.9591073417709499,-4.089265822905008,-0.06023580646941702,0.5116968125461809,54.315442797625
m4-2,IFNg_KO_het,naive,LEFT,damaged_vs_intact,morph_wall_thickness_edmmedian_um,3.536877310332688,3.581123378744265,0.9876446400383189,-1.2355359961681134,-0.0179360493073861,0.5116968125461809,54.315442797625
m4-2,IFNg_KO_het,naive,LEFT,damaged_vs_intact,morph_wall_thickness_2a_over_b_um,3.409572807488969,3.4243029646440584,0.9956983487421591,-0.4301651257840877,-0.006219357301438152,0.5116968125461809,54.315442797625
m4-2,IFNg_KO_het,naive,LEFT,damaged_vs_intact,morph_surface_density_per_um,0.14561099948137193,0.13505388990255562,1.0781696076020728,7.816960760207281,0.1085841472917739,0.5116968125461809,54.315442797625
m4-2,IFNg_KO_het,naive,LEFT,damaged_vs_intact,morph_mli_anisotropy_ratio,1.2478836914812859,1.0561355502680374,1.1815563742405835,18.155637424058348,0.2406884646033979,0.5116968125461809,54.315442797625
m4-2,IFNg_KO_het,naive,LEFT,damaged_vs_intact,morph_mean_airspace_component_eqdiam_um,11.401584630520889,37.86105498750992,0.30114281375102164,-69.88571862489783,-1.7314802629611923,0.5116968125461809,54.315442797625
m4-2,IFNg_KO_het,naive,LEFT,damaged_vs_intact,morph_confluent_airspace_fraction,0.0,0.9232708103172641,0.0,-100.0,,0.5116968125461809,54.315442797625
m4-2,IFNg_KO_het,naive,LEFT,damaged_core_vs_intact_core,morph_tissue_fraction,0.029228855721393034,0.17957738703454257,0.1627646788054151,-83.72353211945848,-2.619140437303933,0.0030622282228773743,3.794565434616697
m4-2,IFNg_KO_het,naive,LEFT,damaged_core_vs_intact_core,morph_airspace_fraction,0.9707711442786069,0.8204226129654575,1.1832574199408123,18.325741994081234,0.24276396892035024,0.0030622282228773743,3.794565434616697
m4-2,IFNg_KO_het,naive,LEFT,damaged_core_vs_intact_core,morph_mli_direct_um,43.13021263316252,22.556417993814666,1.9121038032275126,91.21038032275126,0.9351608456704089,0.0030622282228773743,3.794565434616697
m4-2,IFNg_KO_het,naive,LEFT,damaged_core_vs_intact_core,morph_mli_indirect_um,170.0696943394996,30.299326762854363,5.612985914525254,461.2985914525254,2.488768438941745,0.0030622282228773743,3.794565434616697
m4-2,IFNg_KO_het,naive,LEFT,damaged_core_vs_intact_core,morph_airspace_width_edmmean_um,78.90249575413202,16.96424098357041,4.651106750402084,365.1106750402084,2.217574052420752,0.0030622282228773743,3.794565434616697
m4-2,IFNg_KO_het,naive,LEFT,damaged_core_vs_intact_core,morph_wall_thickness_edmmean_um,4.2616239219061045,5.002453388912513,0.8519067726551156,-14.80932273448844,-0.23123253531326232,0.0030622282228773743,3.794565434616697
m4-2,IFNg_KO_het,naive,LEFT,damaged_core_vs_intact_core,morph_wall_thickness_edmmedian_um,3.46875,3.6072389491036656,0.9616080467477549,-3.8391953252245092,-0.05647912629821714,0.0030622282228773743,3.794565434616697
